id,sen1,sen2,sen3,sen4
8eb647c6-cdfa-416a-b4a2-09b24f44dcc5,"[('Kelly', 'RB'), ('found', 'VBD'), ('her', 'PRP$'), ('grandmother', 'NN'), (""'s"", 'POS'), ('pizza', 'NN'), ('recipe', 'NN'), ('in', 'IN'), ('a', 'DT'), ('shoebox', 'NN'), ('of', 'IN'), ('memories', 'NNS'), ('.', '.')]","[('Kelly', 'RB'), ('reminisced', 'VBN'), ('about', 'IN'), ('how', 'WRB'), ('much', 'JJ'), ('she', 'PRP'), ('loved', 'VBD'), ('her', 'PRP'), ('grandmother', 'NN'), (""'s"", 'POS'), ('pizza', 'NN'), ('.', '.')]","[('Kelly', 'RB'), ('decided', 'VBD'), ('that', 'IN'), ('she', 'PRP'), ('was', 'VBD'), ('going', 'VBG'), ('to', 'TO'), ('try', 'VB'), ('to', 'TO'), ('make', 'VB'), ('pizza', 'NN'), ('.', '.')]","[('Kelly', 'RB'), ('studied', 'VBN'), ('the', 'DT'), ('recipe', 'NN'), ('and', 'CC'), ('gathered', 'VBD'), ('everything', 'NN'), ('she', 'PRP'), ('needed', 'VBD'), ('.', '.')]"
e0cab669-993a-41be-978f-97795be07197,"[('Leo', 'NNP'), ('wore', 'VBD'), ('a', 'DT'), ('toupee', 'NN'), ('and', 'CC'), ('was', 'VBD'), ('anxious', 'JJ'), ('about', 'IN'), ('it', 'PRP'), ('.', '.')]","[('He', 'PRP'), ('decided', 'VBD'), ('to', 'TO'), ('go', 'VB'), ('out', 'RP'), ('for', 'IN'), ('a', 'DT'), ('short', 'JJ'), ('walk', 'NN'), ('.', '.')]","[('It', 'PRP'), ('was', 'VBD'), ('a', 'DT'), ('very', 'RB'), ('windy', 'JJ'), ('day', 'NN'), (',', ','), ('but', 'CC'), ('he', 'PRP'), ('was', 'VBD'), (""n't"", 'RB'), ('too', 'RB'), ('concerned', 'JJ'), ('.', '.')]","[('Suddenly', 'RB'), (',', ','), ('a', 'DT'), ('strong', 'JJ'), ('wind', 'NN'), ('came', 'VBD'), ('through', 'IN'), ('and', 'CC'), ('took', 'VBD'), ('his', 'PRP$'), ('toupee', 'NN'), ('!', '.')]"
ad2236b7-de48-45a2-838b-25f166bdee90,"[('Jimmy', 'NNP'), ('was', 'VBD'), ('a', 'DT'), ('master', 'NN'), ('with', 'IN'), ('his', 'PRP$'), ('grill', 'NN'), ('.', '.')]","[('He', 'PRP'), ('spent', 'VBD'), ('every', 'DT'), ('weekend', 'NN'), ('getting', 'VBG'), ('better', 'RBR'), ('with', 'IN'), ('his', 'PRP$'), ('grill', 'NN'), ('.', '.')]","[('One', 'CD'), ('day', 'NN'), ('he', 'PRP'), ('was', 'VBD'), ('offered', 'VBN'), ('a', 'DT'), ('TV', 'NN'), ('show', 'NN'), ('about', 'IN'), ('grilling', 'VBG'), ('on', 'IN'), ('a', 'DT'), ('local', 'JJ'), ('channel', 'NN'), (',', ',')]","[('Jimmy', 'NNP'), ('accepted', 'VBD'), ('the', 'DT'), ('job', 'NN'), ('in', 'IN'), ('an', 'DT'), ('instant', 'NN'), ('.', '.')]"
500fe4a4-f7c4-4f46-96ee-e010467b069f,"[('Tom', 'NNP'), ('and', 'CC'), ('Beth', 'NNP'), ('were', 'VBD'), ('dating', 'VBG'), ('.', '.')]","[('Tom', 'NNP'), ('wanted', 'VBD'), ('to', 'TO'), ('go', 'VB'), ('on', 'IN'), ('a', 'DT'), ('fun', 'NN'), ('date', 'NN'), ('.', '.')]","[('Tom', 'NNP'), ('suggested', 'VBD'), ('ice', 'NN'), ('skating', 'NN'), ('.', '.')]","[('His', 'PRP$'), ('date', 'NN'), ('was', 'VBD'), ('excited', 'VBN'), ('and', 'CC'), ('they', 'PRP'), ('went', 'VBD'), ('ice', 'NN'), ('skating', 'NN'), ('.', '.')]"
522f2bc3-3bb1-4f68-8e99-5b2abd016854,"[('I', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('friend', 'NN'), ('that', 'IN'), ('I', 'PRP'), ('did', 'VBD'), (""n't"", 'RB'), ('know', 'VB'), ('well', 'RB'), ('but', 'CC'), ('let', 'VB'), ('her', 'PRP'), ('over', 'IN'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]","[('She', 'PRP'), ('paid', 'VBD'), ('rent', 'NN'), ('then', 'RB'), ('asked', 'VBD'), ('for', 'IN'), ('some', 'DT'), ('of', 'IN'), ('it', 'PRP'), ('back', 'RB'), ('.', '.')]","[('She', 'PRP'), ('drinks', 'VBZ'), ('my', 'PRP$'), ('juice', 'NN'), ('and', 'CC'), ('eats', 'VB'), ('my', 'PRP$'), ('food', 'NN'), ('.', '.')]","[('She', 'PRP'), ('also', 'RB'), ('makes', 'VBZ'), ('a', 'DT'), ('huge', 'JJ'), ('mess', 'NN'), ('and', 'CC'), ('is', 'VBZ'), ('very', 'RB'), ('sloppy', 'JJ'), ('.', '.')]"
03508cbb-1f30-4fce-9788-3523a5a8568b,"[('Matthew', 'NNP'), ('grew', 'VBD'), ('up', 'RP'), ('with', 'IN'), ('a', 'DT'), ('dad', 'NN'), ('that', 'WDT'), ('pushed', 'VBD'), ('him', 'PRP'), ('in', 'IN'), ('sports', 'NNS'), ('.', '.')]","[('He', 'PRP'), ('thought', 'VBD'), ('he', 'PRP'), ('would', 'MD'), ('grow', 'VB'), ('up', 'RP'), ('to', 'TO'), ('be', 'VB'), ('an', 'DT'), ('athlete', 'NN'), ('.', '.')]","[('Once', 'RB'), ('he', 'PRP'), ('grew', 'VBD'), ('up', 'RP'), ('he', 'PRP'), ('realized', 'VBD'), ('he', 'PRP'), ('wanted', 'VBD'), ('to', 'TO'), ('do', 'VB'), ('other', 'JJ'), ('things', 'NNS'), ('.', '.')]","[('His', 'PRP$'), ('dad', 'NN'), ('was', 'VBD'), ('very', 'RB'), ('angry', 'JJ'), ('.', '.')]"
07126538-bbde-413f-b8ca-c8327bf4ea4e,"[('Tom', 'NNP'), ('was', 'VBD'), ('driving', 'VBG'), ('on', 'IN'), ('a', 'DT'), ('rainy', 'JJ'), ('night', 'NN'), ('.', '.')]","[('The', 'DT'), ('road', 'NN'), ('was', 'VBD'), ('slicker', 'JJR'), ('than', 'IN'), ('he', 'PRP'), ('thought', 'VBD'), ('.', '.')]","[('Tom', 'NNP'), ('hit', 'VBD'), ('a', 'DT'), ('watery', 'NN'), ('oily', 'RB'), ('patch', 'NN'), ('.', '.')]","[('He', 'PRP'), ('spun', 'VBD'), ('out', 'IN'), ('of', 'IN'), ('control', 'NN'), ('and', 'CC'), ('hit', 'VB'), ('a', 'DT'), ('tree', 'NN'), ('.', '.')]"
63a1ed11-4eb9-4ae8-ad7b-8928f30a36c9,"[('She', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('sudden', 'JJ'), ('craving', 'NN'), ('for', 'IN'), ('mangoes', 'NNS'), ('.', '.')]","[('She', 'PRP'), ('went', 'VBD'), ('to', 'TO'), ('the', 'DT'), ('store', 'NN'), ('looking', 'VBG'), ('for', 'IN'), ('some', 'DT'), ('.', '.')]","[('She', 'PRP'), ('found', 'VBD'), ('some', 'DT'), ('that', 'WDT'), ('were', 'VBD'), ('very', 'RB'), ('ripe', 'JJ'), ('.', '.')]","[('The', 'DT'), ('sweet', 'JJ'), ('flavor', 'NN'), ('was', 'VBD'), ('pungent', 'JJ'), ('and', 'CC'), ('satisfying', 'NN'), ('.', '.')]"
c36e3440-6c49-4338-8283-74ab8da127fc,"[('Jared', 'VBN'), ('liked', 'VBD'), ('to', 'TO'), ('fish', 'VB'), ('with', 'IN'), ('his', 'PRP$'), ('dad', 'NN'), ('every', 'DT'), ('Saturday', 'NNP'), ('.', '.')]","[('He', 'PRP'), ('and', 'CC'), ('his', 'PRP$'), ('dad', 'NN'), ('would', 'MD'), ('go', 'VB'), ('out', 'RP'), ('early', 'RB'), ('so', 'IN'), ('they', 'PRP'), ('could', 'MD'), ('eat', 'VB'), ('their', 'PRP$'), ('catch', 'NN'), ('.', '.')]","[('Jared', 'NNP'), (""'s"", 'POS'), ('dad', 'NN'), ('got', 'VBD'), ('sick', 'JJ'), ('and', 'CC'), ('could', 'MD'), ('no', 'RB'), ('longer', 'RB'), ('go', 'VB'), ('fishing', 'NN'), ('.', '.')]","[('Jared', 'NNP'), ('still', 'RB'), ('got', 'VBD'), ('up', 'RB'), ('early', 'RB'), ('on', 'IN'), ('Saturday', 'NNP'), ('to', 'TO'), ('hang', 'VB'), ('out', 'RP'), ('with', 'IN'), ('his', 'PRP$'), ('dad', 'NN'), ('.', '.')]"
4835f5c1-cfd7-4559-aa37-36793502f828,"[('Susie', 'NNP'), ('needed', 'VBD'), ('models', 'NNS'), ('for', 'IN'), ('her', 'PRP$'), ('catwalk', 'NN'), ('.', '.')]","[('So', 'IN'), ('she', 'PRP'), ('commissioned', 'VBD'), ('Rachel', 'NNP'), ('.', '.')]","[('Rachel', 'NNP'), ('was', 'VBD'), ('thrilled', 'VBN'), ('.', '.')]","[('But', 'CC'), ('the', 'DT'), ('day', 'NN'), ('of', 'IN'), ('the', 'DT'), ('show', 'NN'), ('she', 'PRP'), ('tripped', 'VBD'), ('.', '.')]"
